,SV%,SV%,SV%,GA,GA,GA,GAA,GAA,GAA
,mean,min,max,mean,min,max,mean,min,max
Cntry,,,,,,,,,
CAN,0.9035474376983139,0.7333333333333333,1.0,77.62857142857143,0,171,2.8500795062987905,0.0,6.0
CHE,0.8758620689655172,0.8758620689655172,0.8758620689655172,18.0,18,18,3.4491935913127754,3.4491935913127754,3.4491935913127754
CZE,0.8811372472277842,0.8390804597701149,0.9008207934336525,45.0,1,145,3.4915182863304586,2.8160062577917526,4.730173627405862
DEU,0.9198892947688544,0.9132828630419821,0.9264957264957265,84.5,43,126,2.3637380667701278,2.0402245828610055,2.68725155067925
DNK,0.9176413255360624,0.9176413255360624,0.9176413255360624,169.0,169,169,2.6688892788208696,2.6688892788208696,2.6688892788208696
FIN,0.9111439364813058,0.8920454545454546,0.9234527687296417,96.14285714285714,38,151,2.614611047629173,2.2339991846718306,3.29765692797223
LVA,1.0,1.0,1.0,0.0,0,0,0.0,0.0,0.0
RUS,0.9241956762587831,0.9168918918918919,0.9314994606256742,125.0,123,127,2.3310703739018805,2.0555335755134156,2.606607172290346
SVK,0.9151943039340253,0.9151343705799151,0.9152542372881356,97.5,75,120,2.4896302611107686,2.1763662743833407,2.8028942478381964
SWE,0.9041930049871637,0.8518518518518519,0.9285714285714286,56.875,2,152,2.9171136607344486,1.528337932497759,4.096728307256954
USA,0.8786052317831182,0.0,1.0,53.476190476190474,0,163,2.211990629912296,0.0,5.09049773755944
